# source	target_reldir	key	page	english_ref	subset
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[125]တဒါရုံ အကြောင်း သိကောင်းစရာ/[144] ကုသိုလ်ဖြစ်ဖို့ရန် အကုသိုလ်ဖြစ်ဖို့ရ.md	[1]无色摄受章/[125]关于彼所缘的应知事项	[144]	144	vol_2/English-First-Edition-markdown/Vol 2, pg 101-153.md	glossary/subsets/Vol 2, pg 101-153.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[125]တဒါရုံ အကြောင်း သိကောင်းစရာ/[145]a တိဟိတ် - ဒွိဟိတ် - အဟိတ်.md	[1]无色摄受章/[125]关于彼所缘的应知事项	[145]a	145	vol_2/English-First-Edition-markdown/Vol 2, pg 101-153.md	glossary/subsets/Vol 2, pg 101-153.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[125]တဒါရုံ အကြောင်း သိကောင်းစရာ/[145]b ယေဘုယျဟုသာ မှတ်သားပါ.md	[1]无色摄受章/[125]关于彼所缘的应知事项	[145]b	145	vol_2/English-First-Edition-markdown/Vol 2, pg 101-153.md	glossary/subsets/Vol 2, pg 101-153.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[125]တဒါရုံ အကြောင်း သိကောင်းစရာ/[145]c မဟဂ္ဂုတ် လောကုတ္တရာတရားကို အာရုံယူသေ.md	[1]无色摄受章/[125]关于彼所缘的应知事项	[145]c	145	vol_2/English-First-Edition-markdown/Vol 2, pg 101-153.md	glossary/subsets/Vol 2, pg 101-153.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[147]ရုပ်အတု (၁၀) မျိုး/[147] ရုပ်အတု (၁၀) မျိုး.md	[1]无色摄受章/[147]假色（10）种	[147]	147	vol_2/English-First-Edition-markdown/Vol 2, pg 101-153.md	glossary/subsets/Vol 2, pg 101-153.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[147]ရုပ်အတု (၁၀) မျိုး/[148]a ပုံစံတူရှုရန် ရုပ်အတု (၉) မျိုး.md	[1]无色摄受章/[147]假色（10）种	[148]a	148	vol_2/English-First-Edition-markdown/Vol 2, pg 101-153.md	glossary/subsets/Vol 2, pg 101-153.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[147]ရုပ်အတု (၁၀) မျိုး/[148]b သတိပြုရန် အချက်တစ်ရပ်.md	[1]无色摄受章/[147]假色（10）种	[148]b	148	vol_2/English-First-Edition-markdown/Vol 2, pg 101-153.md	glossary/subsets/Vol 2, pg 101-153.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[149]ပဉ္စဒွါရဝီထိ နာမ်တရားများကို သိမ်းဆည်းပုံ အပိုင်း/[149] ပဉ္စဒွါရဝီထိ နာမ်တရားများကို သိမ်းဆည်.md	[1]无色摄受章/[149]摄受五门心路名法的方式篇	[149]	149	vol_2/English-First-Edition-markdown/Vol 2, pg 101-153.md	glossary/subsets/Vol 2, pg 101-153.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[149]ပဉ္စဒွါရဝီထိ နာမ်တရားများကို သိမ်းဆည်းပုံ အပိုင်း/[152] ရူပါရုံ (= အရောင်) လိုင်း အကောင်းအု.md	[1]无色摄受章/[149]摄受五门心路名法的方式篇	[152]	152	vol_2/English-First-Edition-markdown/Vol 2, pg 101-153.md	glossary/subsets/Vol 2, pg 101-153.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[149]ပဉ္စဒွါရဝီထိ နာမ်တရားများကို သိမ်းဆည်းပုံ အပိုင်း/[153] ရုပ်အစစ် ရုပ်အတု ရောနှောရှုရန်.md	[1]无色摄受章/[149]摄受五门心路名法的方式篇	[153]	153	vol_2/English-First-Edition-markdown/Vol 2, pg 101-153.md	glossary/subsets/Vol 2, pg 101-153.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[149]ပဉ္စဒွါရဝီထိ နာမ်တရားများကို သိမ်းဆည်းပုံ အပိုင်း/[154]a (၅၄) မျိုးသော ရုပ်တရား.md	[1]无色摄受章/[149]摄受五门心路名法的方式篇	[154]a	154	vol_2/English-First-Edition-markdown/Vol 2, pg 153-200.md	glossary/subsets/Vol 2, pg 153-200.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[149]ပဉ္စဒွါရဝီထိ နာမ်တရားများကို သိမ်းဆည်းပုံ အပိုင်း/[154]b ဝတ္ထုအရ တရားကိုယ် ကောက်ယူပုံ.md	[1]无色摄受章/[149]摄受五门心路名法的方式篇	[154]b	154	vol_2/English-First-Edition-markdown/Vol 2, pg 153-200.md	glossary/subsets/Vol 2, pg 153-200.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[149]ပဉ္စဒွါရဝီထိ နာမ်တရားများကို သိမ်းဆည်းပုံ အပိုင်း/[156] ဘဝင်ကို သတိပြုပါ.md	[1]无色摄受章/[149]摄受五门心路名法的方式篇	[156]	156	vol_2/English-First-Edition-markdown/Vol 2, pg 153-200.md	glossary/subsets/Vol 2, pg 153-200.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[149]ပဉ္စဒွါရဝီထိ နာမ်တရားများကို သိမ်းဆည်းပုံ အပိုင်း/[157]a ယောနိသောမနသိကာရ.md	[1]无色摄受章/[149]摄受五门心路名法的方式篇	[157]a	157	vol_2/English-First-Edition-markdown/Vol 2, pg 153-200.md	glossary/subsets/Vol 2, pg 153-200.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[149]ပဉ္စဒွါရဝီထိ နာမ်တရားများကို သိမ်းဆည်းပုံ အပိုင်း/[157]b (၆) ကြိမ်မျှ ရှုရခြင်း၏ အကြောင်းရင်း.md	[1]无色摄受章/[149]摄受五门心路名法的方式篇	[157]b	157	vol_2/English-First-Edition-markdown/Vol 2, pg 153-200.md	glossary/subsets/Vol 2, pg 153-200.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[149]ပဉ္စဒွါရဝီထိ နာမ်တရားများကို သိမ်းဆည်းပုံ အပိုင်း/[159] ထပ်မံ ရှင်းလင်းချက်များ.md	[1]无色摄受章/[149]摄受五门心路名法的方式篇	[159]	159	vol_2/English-First-Edition-markdown/Vol 2, pg 153-200.md	glossary/subsets/Vol 2, pg 153-200.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[149]ပဉ္စဒွါရဝီထိ နာမ်တရားများကို သိမ်းဆည်းပုံ အပိုင်း/[160] မဟာကုသိုလ်ဇော စောရခြင်း၏ အကြောင်းမျာ.md	[1]无色摄受章/[149]摄受五门心路名法的方式篇	[160]	160	vol_2/English-First-Edition-markdown/Vol 2, pg 153-200.md	glossary/subsets/Vol 2, pg 153-200.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[149]ပဉ္စဒွါရဝီထိ နာမ်တရားများကို သိမ်းဆည်းပုံ အပိုင်း/[161] ပုဗ္ဗေ စ ကတပုညတာ စက်၏ စွမ်းအင်.md	[1]无色摄受章/[149]摄受五门心路名法的方式篇	[161]	161	vol_2/English-First-Edition-markdown/Vol 2, pg 153-200.md	glossary/subsets/Vol 2, pg 153-200.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[149]ပဉ္စဒွါရဝီထိ နာမ်တရားများကို သိမ်းဆည်းပုံ အပိုင်း/[164] သတ္တ သဒ္ဓမ္မ = သူတော်ကောင်းတရား (၇) ပါး.md	[1]无色摄受章/[149]摄受五门心路名法的方式篇	[164]	164	vol_2/English-First-Edition-markdown/Vol 2, pg 153-200.md	glossary/subsets/Vol 2, pg 153-200.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[149]ပဉ္စဒွါရဝီထိ နာမ်တရားများကို သိမ်းဆည်းပုံ အပိုင်း/[165] သောမနဿဖြစ်ရခြင်း၏ အကြောင်း.md	[1]无色摄受章/[149]摄受五门心路名法的方式篇	[165]	165	vol_2/English-First-Edition-markdown/Vol 2, pg 153-200.md	glossary/subsets/Vol 2, pg 153-200.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[149]ပဉ္စဒွါရဝီထိ နာမ်တရားများကို သိမ်းဆည်းပုံ အပိုင်း/[166] ဉာဏသမ္ပယုတ် ဖြစ်ရခြင်း.md	[1]无色摄受章/[149]摄受五门心路名法的方式篇	[166]	166	vol_2/English-First-Edition-markdown/Vol 2, pg 153-200.md	glossary/subsets/Vol 2, pg 153-200.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[149]ပဉ္စဒွါရဝီထိ နာမ်တရားများကို သိမ်းဆည်းပုံ အပိုင်း/[168] ရူပါရုံကို သိပုံများ.md	[1]无色摄受章/[149]摄受五门心路名法的方式篇	[168]	168	vol_2/English-First-Edition-markdown/Vol 2, pg 153-200.md	glossary/subsets/Vol 2, pg 153-200.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[149]ပဉ္စဒွါရဝီထိ နာမ်တရားများကို သိမ်းဆည်းပုံ အပိုင်း/[169] ပဉ္စဒွါရိကဝိညာဏ်များ၏ စွမ်းအင်နှင့် မနောဒွါရိကဝိညာဏ်များ၏ စွမ်းအင်များ.md	[1]无色摄受章/[149]摄受五门心路名法的方式篇	[169]	169	vol_2/English-First-Edition-markdown/Vol 2, pg 153-200.md	glossary/subsets/Vol 2, pg 153-200.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[149]ပဉ္စဒွါရဝီထိ နာမ်တရားများကို သိမ်းဆည်းပုံ အပိုင်း/[171] န ကဉ္စိ ဣရိယာပထံ ကပ္ပေတိ - မည်သည့် ဣ.md	[1]无色摄受章/[149]摄受五门心路名法的方式篇	[171]	171	vol_2/English-First-Edition-markdown/Vol 2, pg 153-200.md	glossary/subsets/Vol 2, pg 153-200.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[149]ပဉ္စဒွါရဝီထိ နာမ်တရားများကို သိမ်းဆည်းပုံ အပိုင်း/[173]a ရှေး အယူ.md	[1]无色摄受章/[149]摄受五门心路名法的方式篇	[173]a	173	vol_2/English-First-Edition-markdown/Vol 2, pg 153-200.md	glossary/subsets/Vol 2, pg 153-200.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[149]ပဉ္စဒွါရဝီထိ နာမ်တရားများကို သိမ်းဆည်းပုံ အပိုင်း/[173]b စဉ်းစားဖွယ်.md	[1]无色摄受章/[149]摄受五门心路名法的方式篇	[173]b	173	vol_2/English-First-Edition-markdown/Vol 2, pg 153-200.md	glossary/subsets/Vol 2, pg 153-200.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[149]ပဉ္စဒွါရဝီထိ နာမ်တရားများကို သိမ်းဆည်းပုံ အပိုင်း/[174] နိယာမသို့ သက်ရောက်ခြင်း စသည်.md	[1]无色摄受章/[149]摄受五门心路名法的方式篇	[174]	174	vol_2/English-First-Edition-markdown/Vol 2, pg 153-200.md	glossary/subsets/Vol 2, pg 153-200.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[149]ပဉ္စဒွါရဝီထိ နာမ်တရားများကို သိမ်းဆည်းပုံ အပိုင်း/[174]b အထူးမှာထားချက်များ.md	[1]无色摄受章/[149]摄受五门心路名法的方式篇	[174]b	174	vol_2/English-First-Edition-markdown/Vol 2, pg 153-200.md	glossary/subsets/Vol 2, pg 153-200.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[149]ပဉ္စဒွါရဝီထိ နာမ်တရားများကို သိမ်းဆည်းပုံ အပိုင်း/[175] ရူပါရုံ (= အရောင်) လိုင်း အကောင်းအု.md	[1]无色摄受章/[149]摄受五门心路名法的方式篇	[175]	175	vol_2/English-First-Edition-markdown/Vol 2, pg 153-200.md	glossary/subsets/Vol 2, pg 153-200.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[149]ပဉ္စဒွါရဝီထိ နာမ်တရားများကို သိမ်းဆည်းပုံ အပိုင်း/[176] ဝတ္ထု နှင့် အာရုံ အယူအဆ.md	[1]无色摄受章/[149]摄受五门心路名法的方式篇	[176]	176	vol_2/English-First-Edition-markdown/Vol 2, pg 153-200.md	glossary/subsets/Vol 2, pg 153-200.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[149]ပဉ္စဒွါရဝီထိ နာမ်တရားများကို သိမ်းဆည်းပုံ အပိုင်း/[177] အဝုတ္တသမုစ္စည်း - စ - သဒ္ဒါ.md	[1]无色摄受章/[149]摄受五门心路名法的方式篇	[177]	177	vol_2/English-First-Edition-markdown/Vol 2, pg 153-200.md	glossary/subsets/Vol 2, pg 153-200.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[149]ပဉ္စဒွါရဝီထိ နာမ်တရားများကို သိမ်းဆည်းပုံ အပိုင်း/[178] မဟာဋီကာနှင့် အနုဋီကာတို့၏ ရှင်းလင်း.md	[1]无色摄受章/[149]摄受五门心路名法的方式篇	[178]	178	vol_2/English-First-Edition-markdown/Vol 2, pg 153-200.md	glossary/subsets/Vol 2, pg 153-200.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[149]ပဉ္စဒွါရဝီထိ နာမ်တရားများကို သိမ်းဆည်းပုံ အပိုင်း/[180] ရူပါယတနံ - ဟု ဟောတော်မူရာဝယ်.md	[1]无色摄受章/[149]摄受五门心路名法的方式篇	[180]	180	vol_2/English-First-Edition-markdown/Vol 2, pg 153-200.md	glossary/subsets/Vol 2, pg 153-200.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[149]ပဉ္စဒွါရဝီထိ နာမ်တရားများကို သိမ်းဆည်းပုံ အပိုင်း/[182]a သတိပြုပါ.md	[1]无色摄受章/[149]摄受五门心路名法的方式篇	[182]a	182	vol_2/English-First-Edition-markdown/Vol 2, pg 153-200.md	glossary/subsets/Vol 2, pg 153-200.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[149]ပဉ္စဒွါရဝီထိ နာမ်တရားများကို သိမ်းဆည်းပုံ အပိုင်း/[182]b အထူး စိတ်ဝင်စားဖွယ် တစ်ရပ်.md	[1]无色摄受章/[149]摄受五门心路名法的方式篇	[182]b	182	vol_2/English-First-Edition-markdown/Vol 2, pg 153-200.md	glossary/subsets/Vol 2, pg 153-200.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[149]ပဉ္စဒွါရဝီထိ နာမ်တရားများကို သိမ်းဆည်းပုံ အပိုင်း/[186] မန္ဒာယုက - အမန္ဒာယုက - မဇ္ဈိမာယုက.md	[1]无色摄受章/[149]摄受五门心路名法的方式篇	[186]	186	vol_2/English-First-Edition-markdown/Vol 2, pg 153-200.md	glossary/subsets/Vol 2, pg 153-200.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[149]ပဉ္စဒွါရဝီထိ နာမ်တရားများကို သိမ်းဆည်းပုံ အပိုင်း/[187]a သဒ္ဒါရုံ (= အသံ) လိုင်း - နာမ်တရား.md	[1]无色摄受章/[149]摄受五门心路名法的方式篇	[187]a	187	vol_2/English-First-Edition-markdown/Vol 2, pg 153-200.md	glossary/subsets/Vol 2, pg 153-200.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[149]ပဉ္စဒွါရဝီထိ နာမ်တရားများကို သိမ်းဆည်းပုံ အပိုင်း/[187]b ဂန္ဓာရုံ (= အနံ့) လိုင်း.md	[1]无色摄受章/[149]摄受五门心路名法的方式篇	[187]b	187	vol_2/English-First-Edition-markdown/Vol 2, pg 153-200.md	glossary/subsets/Vol 2, pg 153-200.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[149]ပဉ္စဒွါရဝီထိ နာမ်တရားများကို သိမ်းဆည်းပုံ အပိုင်း/[188] ရသာရုံ (= အရသာ) လိုင်း.md	[1]无色摄受章/[149]摄受五门心路名法的方式篇	[188]	188	vol_2/English-First-Edition-markdown/Vol 2, pg 153-200.md	glossary/subsets/Vol 2, pg 153-200.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[149]ပဉ္စဒွါရဝီထိ နာမ်တရားများကို သိမ်းဆည်းပုံ အပိုင်း/[189] ဖောဋ္ဌဗ္ဗာရုံ (= အတွေ့အထိ) လိုင်း.md	[1]无色摄受章/[149]摄受五门心路名法的方式篇	[189]	189	vol_2/English-First-Edition-markdown/Vol 2, pg 153-200.md	glossary/subsets/Vol 2, pg 153-200.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[149]ပဉ္စဒွါရဝီထိ နာမ်တရားများကို သိမ်းဆည်းပုံ အပိုင်း/[190] ဦးနှောက် နှင့် အသိဉာဏ်.md	[1]无色摄受章/[149]摄受五门心路名法的方式篇	[190]	190	vol_2/English-First-Edition-markdown/Vol 2, pg 153-200.md	glossary/subsets/Vol 2, pg 153-200.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[149]ပဉ္စဒွါရဝီထိ နာမ်တရားများကို သိမ်းဆည်းပုံ အပိုင်း/[192]a ဓာတ်ကမ္မဋ္ဌာန်း အကျယ်နည်းဖြင့် နာမ်တ.md	[1]无色摄受章/[149]摄受五门心路名法的方式篇	[192]a	192	vol_2/English-First-Edition-markdown/Vol 2, pg 153-200.md	glossary/subsets/Vol 2, pg 153-200.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[149]ပဉ္စဒွါရဝီထိ နာမ်တရားများကို သိမ်းဆည်းပုံ အပိုင်း/[192]b အထူးသတိပြု၍ ရှုရန်.md	[1]无色摄受章/[149]摄受五门心路名法的方式篇	[192]b	192	vol_2/English-First-Edition-markdown/Vol 2, pg 153-200.md	glossary/subsets/Vol 2, pg 153-200.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[193]ဝိရတိ အပ္ပမညာ နာမ်တရားတို့ကို သိမ်းဆည်းပုံ/[193]a ဝိရတိ အပ္ပမညာ နာမ်တရားတို့ကို သိမ်းဆ.md	[1]无色摄受章/[193]摄受离与无量名法的方式	[193]a	193	vol_2/English-First-Edition-markdown/Vol 2, pg 153-200.md	glossary/subsets/Vol 2, pg 153-200.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[193]ဝိရတိ အပ္ပမညာ နာမ်တရားတို့ကို သိမ်းဆည်းပုံ/[193]b ဝိရတိ စေတသိက် (၃) မျိုး.md	[1]无色摄受章/[193]摄受离与无量名法的方式	[193]b	193	vol_2/English-First-Edition-markdown/Vol 2, pg 153-200.md	glossary/subsets/Vol 2, pg 153-200.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[193]ဝိရတိ အပ္ပမညာ နာမ်တရားတို့ကို သိမ်းဆည်းပုံ/[193]c  ဒုစရိုက် နှင့် ဒုရာဇီဝ.md	[1]无色摄受章/[193]摄受离与无量名法的方式	[193]c	193	vol_2/English-First-Edition-markdown/Vol 2, pg 153-200.md	glossary/subsets/Vol 2, pg 153-200.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[193]ဝိရတိ အပ္ပမညာ နာမ်တရားတို့ကို သိမ်းဆည်းပုံ/[194] သမ္မာဝါစာ.md	[1]无色摄受章/[193]摄受离与无量名法的方式	[194]	194	vol_2/English-First-Edition-markdown/Vol 2, pg 153-200.md	glossary/subsets/Vol 2, pg 153-200.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[193]ဝိရတိ အပ္ပမညာ နာမ်တရားတို့ကို သိမ်းဆည်းပုံ/[196]a သမ္မာဝါစာ - ရှုကွက်.md	[1]无色摄受章/[193]摄受离与无量名法的方式	[196]a	196	vol_2/English-First-Edition-markdown/Vol 2, pg 153-200.md	glossary/subsets/Vol 2, pg 153-200.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[193]ဝိရတိ အပ္ပမညာ နာမ်တရားတို့ကို သိမ်းဆည်းပုံ/[196]b တစ်နည်းရှုကွက်.md	[1]无色摄受章/[193]摄受离与无量名法的方式	[196]b	196	vol_2/English-First-Edition-markdown/Vol 2, pg 153-200.md	glossary/subsets/Vol 2, pg 153-200.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[193]ဝိရတိ အပ္ပမညာ နာမ်တရားတို့ကို သိမ်းဆည်းပုံ/[196]c နာမ်တရား (၃၅) လုံး.md	[1]无色摄受章/[193]摄受离与无量名法的方式	[196]c	196	vol_2/English-First-Edition-markdown/Vol 2, pg 153-200.md	glossary/subsets/Vol 2, pg 153-200.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[193]ဝိရတိ အပ္ပမညာ နာမ်တရားတို့ကို သိမ်းဆည်းပုံ/[197] သမ္မာကမ္မန္တ - ရှုကွက်.md	[1]无色摄受章/[193]摄受离与无量名法的方式	[197]	197	vol_2/English-First-Edition-markdown/Vol 2, pg 153-200.md	glossary/subsets/Vol 2, pg 153-200.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[193]ဝိရတိ အပ္ပမညာ နာမ်တရားတို့ကို သိမ်းဆည်းပုံ/[198] သမ္မာအာဇီဝ.md	[1]无色摄受章/[193]摄受离与无量名法的方式	[198]	198	vol_2/English-First-Edition-markdown/Vol 2, pg 153-200.md	glossary/subsets/Vol 2, pg 153-200.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[193]ဝိရတိ အပ္ပမညာ နာမ်တရားတို့ကို သိမ်းဆည်းပုံ/[199] သမ္မာအာဇီဝ - ရှုကွက်.md	[1]无色摄受章/[193]摄受离与无量名法的方式	[199]	199	vol_2/English-First-Edition-markdown/Vol 2, pg 153-200.md	glossary/subsets/Vol 2, pg 153-200.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[193]ဝိရတိ အပ္ပမညာ နာမ်တရားတို့ကို သိမ်းဆည်းပုံ/[200]a ဝိရတိ အကြောင်း သိကောင်းစရာ.md	[1]无色摄受章/[193]摄受离与无量名法的方式	[200]a	200	vol_2/English-First-Edition-markdown/Vol 2, pg 153-200.md	glossary/subsets/Vol 2, pg 153-200.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[193]ဝိရတိ အပ္ပမညာ နာမ်တရားတို့ကို သိမ်းဆည်းပုံ/[200]b ၁။ သမ္ပတ္တဝိရတိ.md	[1]无色摄受章/[193]摄受离与无量名法的方式	[200]b	200	vol_2/English-First-Edition-markdown/Vol 2, pg 153-200.md	glossary/subsets/Vol 2, pg 153-200.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[193]ဝိရတိ အပ္ပမညာ နာမ်တရားတို့ကို သိမ်းဆည်းပုံ/[200]c စက္ကန ဥပါသကာ.md	[1]无色摄受章/[193]摄受离与无量名法的方式	[200]c	200	vol_2/English-First-Edition-markdown/Vol 2, pg 153-200.md	glossary/subsets/Vol 2, pg 153-200.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[193]ဝိရတိ အပ္ပမညာ နာမ်တရားတို့ကို သိမ်းဆည်းပုံ/[201]a ၂။ သမာဒါနဝိရတိ ----.md	[1]无色摄受章/[193]摄受离与无量名法的方式	[201]a	201	vol_2/English-First-Edition-markdown/Vol 2, pg 201-250.md	glossary/subsets/Vol 2, pg 201-250.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[193]ဝိရတိ အပ္ပမညာ နာမ်တရားတို့ကို သိမ်းဆည်းပုံ/[201]b ဥတ္တရ ဝဍ္ဎမာနတောင် အရပ်၌ နေသော ဥပါသက.md	[1]无色摄受章/[193]摄受离与无量名法的方式	[201]b	201	vol_2/English-First-Edition-markdown/Vol 2, pg 201-250.md	glossary/subsets/Vol 2, pg 201-250.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[193]ဝိရတိ အပ္ပမညာ နာမ်တရားတို့ကို သိမ်းဆည်းပုံ/[202]a ၃။ သမုစ္ဆေဒဝိရတိ ----.md	[1]无色摄受章/[193]摄受离与无量名法的方式	[202]a	202	vol_2/English-First-Edition-markdown/Vol 2, pg 201-250.md	glossary/subsets/Vol 2, pg 201-250.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[193]ဝိရတိ အပ္ပမညာ နာမ်တရားတို့ကို သိမ်းဆည်းပုံ/[202]b ကုသိုလ်သာ ဖြစ်သည်.md	[1]无色摄受章/[193]摄受离与无量名法的方式	[202]b	202	vol_2/English-First-Edition-markdown/Vol 2, pg 201-250.md	glossary/subsets/Vol 2, pg 201-250.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[193]ဝိရတိ အပ္ပမညာ နာမ်တရားတို့ကို သိမ်းဆည်းပုံ/[203] ဝိရတိ တရားတို့၏ အာရုံ.md	[1]无色摄受章/[193]摄受离与无量名法的方式	[203]	203	vol_2/English-First-Edition-markdown/Vol 2, pg 201-250.md	glossary/subsets/Vol 2, pg 201-250.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[193]ဝိရတိ အပ္ပမညာ နာမ်တရားတို့ကို သိမ်းဆည်းပုံ/[204]a ပါဏာတိပါတ စသည်၏ အာရုံ အယူအဆ သိမှတ်ဖွ.md	[1]无色摄受章/[193]摄受离与无量名法的方式	[204]a	204	vol_2/English-First-Edition-markdown/Vol 2, pg 201-250.md	glossary/subsets/Vol 2, pg 201-250.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[193]ဝိရတိ အပ္ပမညာ နာမ်တရားတို့ကို သိမ်းဆည်းပုံ/[204]b သိက္ခာပုဒ်ဟူသည်.md	[1]无色摄受章/[193]摄受离与无量名法的方式	[204]b	204	vol_2/English-First-Edition-markdown/Vol 2, pg 201-250.md	glossary/subsets/Vol 2, pg 201-250.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[193]ဝိရတိ အပ္ပမညာ နာမ်တရားတို့ကို သိမ်းဆည်းပုံ/[204]c ဝိရတိ၏ အာရုံကို ဆန်းစစ်ချက်.md	[1]无色摄受章/[193]摄受离与无量名法的方式	[204]c	204	vol_2/English-First-Edition-markdown/Vol 2, pg 201-250.md	glossary/subsets/Vol 2, pg 201-250.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[193]ဝိရတိ အပ္ပမညာ နာမ်တရားတို့ကို သိမ်းဆည်းပုံ/[207]a အပ္ပမညာ စေတသိက် နှစ်မျိုး.md	[1]无色摄受章/[193]摄受离与无量名法的方式	[207]a	207	vol_2/English-First-Edition-markdown/Vol 2, pg 201-250.md	glossary/subsets/Vol 2, pg 201-250.tsv
vol_2/markdown/[1]အရူပပရိဂ္ဂဟ အခန်/[193]ဝိရတိ အပ္ပမညာ နာမ်တရားတို့ကို သိမ်းဆည်းပုံ/[208]a မုဒိတာ စေတသိက် ရှုကွက်.md	[1]无色摄受章/[193]摄受离与无量名法的方式	[208]a	208	vol_2/English-First-Edition-markdown/Vol 2, pg 201-250.md	glossary/subsets/Vol 2, pg 201-250.tsv
