# source	target_reldir	key	page	english_ref	subset
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[119b]၂၅။ ရူပဿ ဥပစယ.md	[010]色（28）法 = 色蕴论章	[119b]	119	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[120]၂၆။ ရူပဿ သန္တတိ.md	[010]色（28）法 = 色蕴论章	[120]	120	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[120b] အာစယ - ဥပစယ - သန္တတိ.md	[010]色（28）法 = 色蕴论章	[120b]	120	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[123]ဥပစယ - သန္တတိ.md	[010]色（28）法 = 色蕴论章	[123]	123	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[124]အဋ္ဌသာလိနီ အဋ္ဌကထာနှင့် ဋီကာအဖွင့်များ.md	[010]色（28）法 = 色蕴论章	[124]	124	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[126]ပြည်ဆရာတော်ဘုရားကြီး၏ မှတ်ချက်.md	[010]色（28）法 = 色蕴论章	[126]	126	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[128]၂၇။ ရူပဿ ဇရတာ.md	[010]色（28）法 = 色蕴论章	[128]	128	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[129]သုတ္တန်နည်း - ဇာတိ - ဇရာ - မရဏ.md	[010]色（28）法 = 色蕴论章	[129]	129	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[130]အသက်ကြီးသူတို့၌ အိုမှု ထင်ရှားပုံ.md	[010]色（28）法 = 色蕴论章	[130]	130	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[131]ထပ်မံရှင်းလင်းချက်များ.md	[010]色（28）法 = 色蕴论章	[131]	131	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[132] လောက ဥပမာ.md	[010]色（28）法 = 色蕴论章	[132]	132	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[133]၂၈။ ရူပဿ အနိစ္စတာ.md	[010]色（28）法 = 色蕴论章	[133]	133	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[134]ရှုပုံ နည်းစနစ်.md	[010]色（28）法 = 色蕴论章	[134]	134	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[135]နှစ်စုအားဖြင့် ရုပ်တို့ကို ခွဲတမ်းချပုံ.md	[010]色（28）法 = 色蕴论章	[135]	135	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[137]အထူးသတိပြု၍ မှတ်သားပါ.md	[010]色（28）法 = 色蕴论章	[137]	137	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[138]သုံးစုအားဖြင့် ရုပ်တို့ကို ခွဲတမ်းချပုံ.md	[010]色（28）法 = 色蕴论章	[138]	138	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[139]လေးစုအားဖြင့် ရုပ်တို့ကို ခွဲတမ်းချပုံ.md	[010]色（28）法 = 色蕴论章	[139]	139	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[140]ငါးစုအားဖြင့် ရုပ်တို့ကို ခွဲတမ်းချပုံ.md	[010]色（28）法 = 色蕴论章	[140]	140	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[142]ဝိညာဏက္ခန္ဓကထာ အခန်း/[142]ဝိညာဏက္ခန္ဓကထာ အခန်း.md	[142]识蕴论章	[142]	142	vol_4/English-First-Edition-markdown/vol 4, Page 142-208.md	glossary/subsets/vol 4, Page 142-208.tsv
vol_4/markdown/[142]ဝိညာဏက္ခန္ဓကထာ အခန်း/[142b]ဝိဇာနနလက္ခဏ.md	[142]识蕴论章	[142b]	142	vol_4/English-First-Edition-markdown/vol 4, Page 142-208.md	glossary/subsets/vol 4, Page 142-208.tsv
vol_4/markdown/[142]ဝိညာဏက္ခန္ဓကထာ အခန်း/[143]ဝိဂြိုဟ် (၃) မျိုး.md	[142]识蕴论章	[143]	143	vol_4/English-First-Edition-markdown/vol 4, Page 142-208.md	glossary/subsets/vol 4, Page 142-208.tsv
vol_4/markdown/[142]ဝိညာဏက္ခန္ဓကထာ အခန်း/[144]ဝိညာဏ်အပြားနှင့် ကုသိုလ်အပြား.md	[142]识蕴论章	[144]	144	vol_4/English-First-Edition-markdown/vol 4, Page 142-208.md	glossary/subsets/vol 4, Page 142-208.tsv
vol_4/markdown/[142]ဝိညာဏက္ခန္ဓကထာ အခန်း/[145]အကုသိုလ်စိတ် (၁၂) ပါး.md	[142]识蕴论章	[145]	145	vol_4/English-First-Edition-markdown/vol 4, Page 142-208.md	glossary/subsets/vol 4, Page 142-208.tsv
vol_4/markdown/[142]ဝိညာဏက္ခန္ဓကထာ အခန်း/[146] လောဘမူစိတ် (၈) မျိုး ဖြစ်ပေါ်လာပုံ.md	[142]识蕴论章	[146]	146	vol_4/English-First-Edition-markdown/vol 4, Page 142-208.md	glossary/subsets/vol 4, Page 142-208.tsv
vol_4/markdown/[142]ဝိညာဏက္ခန္ဓကထာ အခန်း/[147]ဒေါသမူစိတ် (၂) မျိုး ဖြစ်ပေါ်လာပုံ.md	[142]识蕴论章	[147]	147	vol_4/English-First-Edition-markdown/vol 4, Page 142-208.md	glossary/subsets/vol 4, Page 142-208.tsv
vol_4/markdown/[142]ဝိညာဏက္ခန္ဓကထာ အခန်း/[148]မောဟမူစိတ် (၂) မျိုး ဖြစ်ပေါ်လာပုံ.md	[142]识蕴论章	[148]	148	vol_4/English-First-Edition-markdown/vol 4, Page 142-208.md	glossary/subsets/vol 4, Page 142-208.tsv
vol_4/markdown/[142]ဝိညာဏက္ခန္ဓကထာ အခန်း/[149]ဝိပါက် အဗျာကတ ဝိညာဏ်.md	[142]识蕴论章	[149]	149	vol_4/English-First-Edition-markdown/vol 4, Page 142-208.md	glossary/subsets/vol 4, Page 142-208.tsv
vol_4/markdown/[142]ဝိညာဏက္ခန္ဓကထာ အခန်း/[150]မဟာကုသိုလ်နှင့် မဟာဝိပါက်.md	[142]识蕴论章	[150]	150	vol_4/English-First-Edition-markdown/vol 4, Page 142-208.md	glossary/subsets/vol 4, Page 142-208.tsv
vol_4/markdown/[142]ဝိညာဏက္ခန္ဓကထာ အခန်း/[151]နိရုဿာဟ - သဥဿာဟ.md	[142]识蕴论章	[151]	151	vol_4/English-First-Edition-markdown/vol 4, Page 142-208.md	glossary/subsets/vol 4, Page 142-208.tsv
vol_4/markdown/[142]ဝိညာဏက္ခန္ဓကထာ အခန်း/[152]ကိရိယ အဗျာကတ ဝိညာဏ်.md	[142]识蕴论章	[152]	152	vol_4/English-First-Edition-markdown/vol 4, Page 142-208.md	glossary/subsets/vol 4, Page 142-208.tsv
vol_4/markdown/[142]ဝိညာဏက္ခန္ဓကထာ အခန်း/[153]ဝိညာဏ်တို့၏ လုပ်ငန်းကိစ္စ (၁၄) မျိုး.md	[142]识蕴论章	[153]	153	vol_4/English-First-Edition-markdown/vol 4, Page 142-208.md	glossary/subsets/vol 4, Page 142-208.tsv
vol_4/markdown/[142]ဝိညာဏက္ခန္ဓကထာ အခန်း/[153b]၁။ ပဋိသန္ဓေကိစ္စ.md	[142]识蕴论章	[153b]	153	vol_4/English-First-Edition-markdown/vol 4, Page 142-208.md	glossary/subsets/vol 4, Page 142-208.tsv
vol_4/markdown/[142]ဝိညာဏက္ခန္ဓကထာ အခန်း/[153c]၂။ ဘဝင်ကိစ္စ.md	[142]识蕴论章	[153c]	153	vol_4/English-First-Edition-markdown/vol 4, Page 142-208.md	glossary/subsets/vol 4, Page 142-208.tsv
vol_4/markdown/[142]ဝိညာဏက္ခန္ဓကထာ အခန်း/[154]၃။ အာဝဇ္ဇန်း ကိစ္စ.md	[142]识蕴论章	[154]	154	vol_4/English-First-Edition-markdown/vol 4, Page 142-208.md	glossary/subsets/vol 4, Page 142-208.tsv
vol_4/markdown/[142]ဝိညာဏက္ခန္ဓကထာ အခန်း/[155]၄-၈။ ဒဿန သဝန ဃာယန သာယန ဖုသနကိစ္စ.md	[142]识蕴论章	[155]	155	vol_4/English-First-Edition-markdown/vol 4, Page 142-208.md	glossary/subsets/vol 4, Page 142-208.tsv
vol_4/markdown/[142]ဝိညာဏက္ခန္ဓကထာ အခန်း/[155b]၉။ သမ္ပဋိစ္ဆိုင်းကိစ္စ.md	[142]识蕴论章	[155b]	155	vol_4/English-First-Edition-markdown/vol 4, Page 142-208.md	glossary/subsets/vol 4, Page 142-208.tsv
vol_4/markdown/[142]ဝိညာဏက္ခန္ဓကထာ အခန်း/[156]၁၀။ သန္တီရဏကိစ္စ.md	[142]识蕴论章	[156]	156	vol_4/English-First-Edition-markdown/vol 4, Page 142-208.md	glossary/subsets/vol 4, Page 142-208.tsv
vol_4/markdown/[142]ဝိညာဏက္ခန္ဓကထာ အခန်း/[156b]၁၁။ ဝေါဋ္ဌဗ္ဗနကိစ္စ = ဝုဋ္ဌောကိစ္စ.md	[142]识蕴论章	[156b]	156	vol_4/English-First-Edition-markdown/vol 4, Page 142-208.md	glossary/subsets/vol 4, Page 142-208.tsv
vol_4/markdown/[142]ဝိညာဏက္ခန္ဓကထာ အခန်း/[157]၁၂။ ဇဝနကိစ္စ = ဇောကိစ္စ.md	[142]识蕴论章	[157]	157	vol_4/English-First-Edition-markdown/vol 4, Page 142-208.md	glossary/subsets/vol 4, Page 142-208.tsv
vol_4/markdown/[142]ဝိညာဏက္ခန္ဓကထာ အခန်း/[157b]၁၃။ တဒါရုံကိစ္စ.md	[142]识蕴论章	[157b]	157	vol_4/English-First-Edition-markdown/vol 4, Page 142-208.md	glossary/subsets/vol 4, Page 142-208.tsv
vol_4/markdown/[142]ဝိညာဏက္ခန္ဓကထာ အခန်း/[158]အချို့ ဆရာမြတ်တို့၏ အယူ.md	[142]识蕴论章	[158]	158	vol_4/English-First-Edition-markdown/vol 4, Page 142-208.md	glossary/subsets/vol 4, Page 142-208.tsv
vol_4/markdown/[142]ဝိညာဏက္ခန္ဓကထာ အခန်း/[159]မူလဋီကာဆရာတော်၏ ဝါဒ.md	[142]识蕴论章	[159]	159	vol_4/English-First-Edition-markdown/vol 4, Page 142-208.md	glossary/subsets/vol 4, Page 142-208.tsv
vol_4/markdown/[142]ဝိညာဏက္ခန္ဓကထာ အခန်း/[161]ဆဠင်္ဂုပေက္ခာ.md	[142]识蕴论章	[161]	161	vol_4/English-First-Edition-markdown/vol 4, Page 142-208.md	glossary/subsets/vol 4, Page 142-208.tsv
vol_4/markdown/[142]ဝိညာဏက္ခန္ဓကထာ အခန်း/[161b]၁၄။ စုတိကိစ္စ.md	[142]识蕴论章	[161b]	161	vol_4/English-First-Edition-markdown/vol 4, Page 142-208.md	glossary/subsets/vol 4, Page 142-208.tsv
vol_4/markdown/[142]ဝိညာဏက္ခန္ဓကထာ အခန်း/[162]၁။ ဝိညာဏက္ခန္ဓာ.md	[142]识蕴论章	[162]	162	vol_4/English-First-Edition-markdown/vol 4, Page 142-208.md	glossary/subsets/vol 4, Page 142-208.tsv
vol_4/markdown/[142]ဝိညာဏက္ခန္ဓကထာ အခန်း/[165a]၂။ ပဋိသန္ဓေစိတ်.md	[142]识蕴论章	[165a]	165	vol_4/English-First-Edition-markdown/vol 4, Page 142-208.md	glossary/subsets/vol 4, Page 142-208.tsv
vol_4/markdown/[142]ဝိညာဏက္ခန္ဓကထာ အခန်း/[165b]၃။ ဘဝင်စိတ်.md	[142]识蕴论章	[165b]	165	vol_4/English-First-Edition-markdown/vol 4, Page 142-208.md	glossary/subsets/vol 4, Page 142-208.tsv
vol_4/markdown/[142]ဝိညာဏက္ခန္ဓကထာ အခန်း/[166]၄။ ပဉ္စဒွါရာဝဇ္ဇန်း = ကိရိယာ မနောဓာတ်.md	[142]识蕴论章	[166]	166	vol_4/English-First-Edition-markdown/vol 4, Page 142-208.md	glossary/subsets/vol 4, Page 142-208.tsv
vol_4/markdown/[142]ဝိညာဏက္ခန္ဓကထာ အခန်း/[168a] ပဉ္စဒွါရာဝဇ္ဇန်း - ရူပါရုံကို အာရုံ ပြုသည်။.md	[142]识蕴论章	[168a]	168	vol_4/English-First-Edition-markdown/vol 4, Page 142-208.md	glossary/subsets/vol 4, Page 142-208.tsv
vol_4/markdown/[142]ဝိညာဏက္ခန္ဓကထာ အခန်း/[168b]၅။ စက္ခုဝိညာဏ်.md	[142]识蕴论章	[168b]	168	vol_4/English-First-Edition-markdown/vol 4, Page 142-208.md	glossary/subsets/vol 4, Page 142-208.tsv
vol_4/markdown/[142]ဝိညာဏက္ခန္ဓကထာ အခန်း/[169]စက္ခုဝိညာဏ် အမည်ရခြင်း.md	[142]识蕴论章	[169]	169	vol_4/English-First-Edition-markdown/vol 4, Page 142-208.md	glossary/subsets/vol 4, Page 142-208.tsv
vol_4/markdown/[142]ဝိညာဏက္ခန္ဓကထာ အခန်း/[173]ပဏ္ဍရ = ဖြူစင်ပါသည်.md	[142]识蕴论章	[173]	173	vol_4/English-First-Edition-markdown/vol 4, Page 142-208.md	glossary/subsets/vol 4, Page 142-208.tsv
vol_4/markdown/[142]ဝိညာဏက္ခန္ဓကထာ အခန်း/[174a]၆။ သောတဝိညာဏ်.md	[142]识蕴论章	[174a]	174	vol_4/English-First-Edition-markdown/vol 4, Page 142-208.md	glossary/subsets/vol 4, Page 142-208.tsv
vol_4/markdown/[142]ဝိညာဏက္ခန္ဓကထာ အခန်း/[174b]၇။ ဃာနဝိညာဏ်.md	[142]识蕴论章	[174b]	174	vol_4/English-First-Edition-markdown/vol 4, Page 142-208.md	glossary/subsets/vol 4, Page 142-208.tsv
vol_4/markdown/[142]ဝိညာဏက္ခန္ဓကထာ အခန်း/[175]၈။ ဇိဝှါဝိညာဏ်.md	[142]识蕴论章	[175]	175	vol_4/English-First-Edition-markdown/vol 4, Page 142-208.md	glossary/subsets/vol 4, Page 142-208.tsv
vol_4/markdown/[142]ဝိညာဏက္ခန္ဓကထာ အခန်း/[176]၉။ ကာယဝိညာဏ်.md	[142]识蕴论章	[176]	176	vol_4/English-First-Edition-markdown/vol 4, Page 142-208.md	glossary/subsets/vol 4, Page 142-208.tsv
vol_4/markdown/[142]ဝိညာဏက္ခန္ဓကထာ အခန်း/[177]ပဉ္စဝိညာဏ်တို့၌ ဝေဒနာ.md	[142]识蕴论章	[177]	177	vol_4/English-First-Edition-markdown/vol 4, Page 142-208.md	glossary/subsets/vol 4, Page 142-208.tsv
vol_4/markdown/[142]ဝိညာဏက္ခန္ဓကထာ အခန်း/[178]ဝေဒနာ ကြာမြင့်စွာ ဖြစ်ပုံ.md	[142]识蕴论章	[178]	178	vol_4/English-First-Edition-markdown/vol 4, Page 142-208.md	glossary/subsets/vol 4, Page 142-208.tsv
vol_4/markdown/[142]ဝိညာဏက္ခန္ဓကထာ အခန်း/[179]ဃဋ္ဋန = ထိခိုက်မှု.md	[142]识蕴论章	[179]	179	vol_4/English-First-Edition-markdown/vol 4, Page 142-208.md	glossary/subsets/vol 4, Page 142-208.tsv
vol_4/markdown/[142]ဝိညာဏက္ခန္ဓကထာ အခန်း/[180]မနောဝိညာဏ်နာမ်တရားစုတို့၏ ပစ္စုပ္ပန်အကြောင်း.md	[142]识蕴论章	[180]	180	vol_4/English-First-Edition-markdown/vol 4, Page 142-208.md	glossary/subsets/vol 4, Page 142-208.tsv
vol_4/markdown/[142]ဝိညာဏက္ခန္ဓကထာ အခန်း/[181]၁၀။ သမ္ပဋိစ္ဆိုင်း = လက်ခံ (ဝိပါက်မနောဓာတ်).md	[142]识蕴论章	[181]	181	vol_4/English-First-Edition-markdown/vol 4, Page 142-208.md	glossary/subsets/vol 4, Page 142-208.tsv
vol_4/markdown/[142]ဝိညာဏက္ခန္ဓကထာ အခန်း/[184]၁၁။ သန္တီရဏ (= အဟိတ်ဝိပါက် မနောဝိညာဏဓာတ်).md	[142]识蕴论章	[184]	184	vol_4/English-First-Edition-markdown/vol 4, Page 142-208.md	glossary/subsets/vol 4, Page 142-208.tsv
vol_4/markdown/[142]ဝိညာဏက္ခန္ဓကထာ အခန်း/[186]၁၂။ ဝုဋ္ဌော (= သာဓာရဏာ ကိရိယ မနောဝိညာဏဓာတ်).md	[142]识蕴论章	[186]	186	vol_4/English-First-Edition-markdown/vol 4, Page 142-208.md	glossary/subsets/vol 4, Page 142-208.tsv
vol_4/markdown/[142]ဝိညာဏက္ခန္ဓကထာ အခန်း/[187]ထပ်ဆင့်မေးခွန်းတစ်ခု.md	[142]识蕴论章	[187]	187	vol_4/English-First-Edition-markdown/vol 4, Page 142-208.md	glossary/subsets/vol 4, Page 142-208.tsv
vol_4/markdown/[142]ဝိညာဏက္ခန္ဓကထာ အခန်း/[188]၁၃။ ဇော - ကုသိုလ်ဇော.md	[142]识蕴论章	[188]	188	vol_4/English-First-Edition-markdown/vol 4, Page 142-208.md	glossary/subsets/vol 4, Page 142-208.tsv
vol_4/markdown/[142]ဝိညာဏက္ခန္ဓကထာ အခန်း/[189]ကုသိုလ်ဟူသည်.md	[142]识蕴论章	[189]	189	vol_4/English-First-Edition-markdown/vol 4, Page 142-208.md	glossary/subsets/vol 4, Page 142-208.tsv
vol_4/markdown/[142]ဝိညာဏက္ခန္ဓကထာ အခန်း/[190]တစ်နည်း အဖွင့်များ.md	[142]识蕴论章	[190]	190	vol_4/English-First-Edition-markdown/vol 4, Page 142-208.md	glossary/subsets/vol 4, Page 142-208.tsv
vol_4/markdown/[142]ဝိညာဏက္ခန္ဓကထာ အခန်း/[192]မုချအားဖြင့် မှတ်ရန်.md	[142]识蕴论章	[192]	192	vol_4/English-First-Edition-markdown/vol 4, Page 142-208.md	glossary/subsets/vol 4, Page 142-208.tsv
vol_4/markdown/[142]ဝိညာဏက္ခန္ဓကထာ အခန်း/[195]၁၃။ ဇော - အကုသိုလ်ဇော.md	[142]识蕴论章	[195]	195	vol_4/English-First-Edition-markdown/vol 4, Page 142-208.md	glossary/subsets/vol 4, Page 142-208.tsv
vol_4/markdown/[142]ဝိညာဏက္ခန္ဓကထာ အခန်း/[197]အနက်အဓိပ္ပါယ် ယှဉ်စပ် ယောဇနာပုံ.md	[142]识蕴论章	[197]	197	vol_4/English-First-Edition-markdown/vol 4, Page 142-208.md	glossary/subsets/vol 4, Page 142-208.tsv
vol_4/markdown/[142]ဝိညာဏက္ခန္ဓကထာ အခန်း/[198]ရသ - ပစ္စုပဋ္ဌာန် - ပဒဋ္ဌာန်.md	[142]识蕴论章	[198]	198	vol_4/English-First-Edition-markdown/vol 4, Page 142-208.md	glossary/subsets/vol 4, Page 142-208.tsv
vol_4/markdown/[142]ဝိညာဏက္ခန္ဓကထာ အခန်း/[198b]ပစ္စုပဋ္ဌာန် ရှုကွက်.md	[142]识蕴论章	[198b]	198	vol_4/English-First-Edition-markdown/vol 4, Page 142-208.md	glossary/subsets/vol 4, Page 142-208.tsv
vol_4/markdown/[142]ဝိညာဏက္ခန္ဓကထာ အခန်း/[199]လက္ခဏနှင့် ရသ.md	[142]识蕴论章	[199]	199	vol_4/English-First-Edition-markdown/vol 4, Page 142-208.md	glossary/subsets/vol 4, Page 142-208.tsv
vol_4/markdown/[142]ဝိညာဏက္ခန္ဓကထာ အခန်း/[200]ပဉ္စဒွါရိကဇော.md	[142]识蕴论章	[200]	200	vol_4/English-First-Edition-markdown/vol 4, Page 142-208.md	glossary/subsets/vol 4, Page 142-208.tsv
vol_4/markdown/[142]ဝိညာဏက္ခန္ဓကထာ အခန်း/[202a]၁၄။ တဒါရုံ.md	[142]识蕴论章	[202a]	202	vol_4/English-First-Edition-markdown/vol 4, Page 142-208.md	glossary/subsets/vol 4, Page 142-208.tsv
vol_4/markdown/[142]ဝိညာဏက္ခန္ဓကထာ အခန်း/[202b]၁၅။ မနောဒွါရာဝဇ္ဇန်း.md	[142]识蕴论章	[202b]	202	vol_4/English-First-Edition-markdown/vol 4, Page 142-208.md	glossary/subsets/vol 4, Page 142-208.tsv
vol_4/markdown/[142]ဝိညာဏက္ခန္ဓကထာ အခန်း/[204]မဟာဂဇစိတ် = ဆင်ပြောင်ကြီးနှင့်တူသောစိတ်.md	[142]识蕴论章	[204]	204	vol_4/English-First-Edition-markdown/vol 4, Page 142-208.md	glossary/subsets/vol 4, Page 142-208.tsv
vol_4/markdown/[142]ဝိညာဏက္ခန္ဓကထာ အခန်း/[204b]၁၆။ ဟသိတုပ္ပါဒ်စိတ်.md	[142]识蕴论章	[204b]	204	vol_4/English-First-Edition-markdown/vol 4, Page 142-208.md	glossary/subsets/vol 4, Page 142-208.tsv
vol_4/markdown/[142]ဝိညာဏက္ခန္ဓကထာ အခန်း/[206]မူလဋီကာ၏ ဖွင့်ဆိုချက်.md	[142]识蕴论章	[206]	206	vol_4/English-First-Edition-markdown/vol 4, Page 142-208.md	glossary/subsets/vol 4, Page 142-208.tsv
vol_4/markdown/[142]ဝိညာဏက္ခန္ဓကထာ အခန်း/[206b]အနုဋီကာဆရာတော်၏ သုံးသပ်ချက်.md	[142]识蕴论章	[206b]	206	vol_4/English-First-Edition-markdown/vol 4, Page 142-208.md	glossary/subsets/vol 4, Page 142-208.tsv
vol_4/markdown/[142]ဝိညာဏက္ခန္ဓကထာ အခန်း/[207]ပြုံးရွှင်မှုကို ဖြစ်စေတတ်သော စိတ်များ.md	[142]识蕴论章	[207]	207	vol_4/English-First-Edition-markdown/vol 4, Page 142-208.md	glossary/subsets/vol 4, Page 142-208.tsv
vol_4/markdown/[142]ဝိညာဏက္ခန္ဓကထာ အခန်း/[207b]၁၇။ စုတိစိတ်.md	[142]识蕴论章	[207b]	207	vol_4/English-First-Edition-markdown/vol 4, Page 142-208.md	glossary/subsets/vol 4, Page 142-208.tsv
vol_4/markdown/[209]ဝေဒနာက္ခန္ဓကထာ အခန်း/[209a]ဝေဒနာက္ခန္ဓကထာ အခန်း.md	[209]受蕴论章	[209a]	209	vol_4/English-First-Edition-markdown/vol 4, Page 209-226.md	glossary/subsets/vol 4, Page 209-226.tsv
vol_4/markdown/[209]ဝေဒနာက္ခန္ဓကထာ အခန်း/[209b]၁။ သုခဝေဒနား.md	[209]受蕴论章	[209b]	209	vol_4/English-First-Edition-markdown/vol 4, Page 209-226.md	glossary/subsets/vol 4, Page 209-226.tsv
vol_4/markdown/[209]ဝေဒနာက္ခန္ဓကထာ အခန်း/[210]၂။ဒုက္ခဝေဒနာ.md	[209]受蕴论章	[210]	210	vol_4/English-First-Edition-markdown/vol 4, Page 209-226.md	glossary/subsets/vol 4, Page 209-226.tsv
vol_4/markdown/[209]ဝေဒနာက္ခန္ဓကထာ အခန်း/[210]၃။သောမနဿဝေဒနာ.md	[209]受蕴论章	[210]	210	vol_4/English-First-Edition-markdown/vol 4, Page 209-226.md	glossary/subsets/vol 4, Page 209-226.tsv
vol_4/markdown/[209]ဝေဒနာက္ခန္ဓကထာ အခန်း/[212]ဥပမာဆောင်၍ ပြခြင်း.md	[209]受蕴论章	[212]	212	vol_4/English-First-Edition-markdown/vol 4, Page 209-226.md	glossary/subsets/vol 4, Page 209-226.tsv
vol_4/markdown/[209]ဝေဒနာက္ခန္ဓကထာ အခန်း/[213]တစ်နည်း ဖွင့်ဆိုပုံ.md	[209]受蕴论章	[213]	213	vol_4/English-First-Edition-markdown/vol 4, Page 209-226.md	glossary/subsets/vol 4, Page 209-226.tsv
vol_4/markdown/[209]ဝေဒနာက္ခန္ဓကထာ အခန်း/[214]ပီတိနှင့် သုခ.md	[209]受蕴论章	[214]	214	vol_4/English-First-Edition-markdown/vol 4, Page 209-226.md	glossary/subsets/vol 4, Page 209-226.tsv
vol_4/markdown/[209]ဝေဒနာက္ခန္ဓကထာ အခန်း/[215]လောဘမူ သောမနဿဝေဒနာ.md	[209]受蕴论章	[215]	215	vol_4/English-First-Edition-markdown/vol 4, Page 209-226.md	glossary/subsets/vol 4, Page 209-226.tsv
vol_4/markdown/[209]ဝေဒနာက္ခန္ဓကထာ အခန်း/[216]၄။ ဒေါမနဿဝေဒနာ.md	[209]受蕴论章	[216]	216	vol_4/English-First-Edition-markdown/vol 4, Page 209-226.md	glossary/subsets/vol 4, Page 209-226.tsv
vol_4/markdown/[209]ဝေဒနာက္ခန္ဓကထာ အခန်း/[216]၅။ ဥပေက္ခာဝေဒနာ.md	[209]受蕴论章	[216]	216	vol_4/English-First-Edition-markdown/vol 4, Page 209-226.md	glossary/subsets/vol 4, Page 209-226.tsv
vol_4/markdown/[209]ဝေဒနာက္ခန္ဓကထာ အခန်း/[217](b)စျာနုပေက္ခာ.md	[209]受蕴论章	[217]	217	vol_4/English-First-Edition-markdown/vol 4, Page 209-226.md	glossary/subsets/vol 4, Page 209-226.tsv
vol_4/markdown/[209]ဝေဒနာက္ခန္ဓကထာ အခန်း/[217]‌‌(a)မဟာစည်ဆရာတော်ဘုရားကြီး၏အယူ.md	[209]受蕴论章	[217]	217	vol_4/English-First-Edition-markdown/vol 4, Page 209-226.md	glossary/subsets/vol 4, Page 209-226.tsv
